"clube","atleta","tipo_de_gol"
"Santos","Eduardo Sasha","Regular"
"Fortaleza","Wellington Paulista","Regular"
"CSA","Apodi","Regular"
"Cruzeiro","Fred","Regular"
"Flamengo","Pablo Marí Villar","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Avai","Richard Franco","Regular"
"Corinthians","Vágner Love","Regular"
"Bahia","Arthur Caike do Nascimento Cruz","Regular"
"Athletico-PR","Nikão","Regular"
"Santos","Gum","Contra"
"Botafogo-RJ","Diego Souza","Regular"
"Internacional","Rodrigo Lindoso","Regular"
"Botafogo-RJ","Márcio Almeida de Oliveira","Regular"
"Internacional","Edenílson Andrade dos Santos","Regular"
"Internacional","Nicolás Federico López","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Flamengo","Gabriel Barbosa","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Fortaleza","Juan Quintero Fletcher","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Cruzeiro","Maurício","Regular"
"Corinthians","Gustavo","Regular"
"Avai","João Paulo","Penalti"
"Ceara","Leandro Carvalho","Regular"
"Corinthians","Vágner Love","Regular"
"Corinthians","João Lucas Cardoso","Contra"
"Ceara","Thiago Galhardo","Regular"
"Bahia","Nino Paraíba","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Flamengo","Pablo Marí Villar","Regular"
"Flamengo","Reinier","Regular"
"Fluminense","João Pedro","Regular"
"Internacional","Rafael Sóbis","Penalti"
"Goias","Rafael Vaz","Regular"
"Palmeiras","Willian Gomes de Siqueira","Regular"
"Palmeiras","Gustavo Scarpa","Regular"
"Gremio","Diego Tardelli","Regular"
"Cruzeiro","Fred","Penalti"
"Gremio","Alisson Euler de Freitas Castro","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Athletico-PR","Braian Romero","Regular"
"Santos","Carlos Andrés Sánchez","Penalti"
"Botafogo-RJ","Alex Paulo Menezes Santana","Regular"
"Atletico-MG","Franco Di Santo","Regular"
"Botafogo-RJ","Diego Souza","Penalti"
"CSA","Jonatan Gómez","Regular"
"CSA","Alecsandro","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Vasco","Talles Magno","Regular"
"Chapecoense","Arthur Gomes","Regular"
"Vasco","Ribamar","Regular"
"Palmeiras","Bruno Henrique Corsini","Regular"
"Internacional","William Pottker","Regular"
"Internacional","William Pottker","Regular"
"Internacional","Neilton Mestzk","Regular"
"Atletico-MG","Bruninho","Regular"
"Avai","Jonathan","Regular"
"Gremio","Jean Pyerre","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Gremio","Alisson Euler de Freitas Castro","Regular"
"Fluminense","Paulo Henrique Ganso","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Penalti"
"Fortaleza","Felipe Pires","Regular"
"Sao Paulo","Reinaldo Manoel da Silva","Regular"
"CSA","Héctor Bustamante","Regular"
"Sao Paulo","Pablo Felipe Teixeira","Regular"
"Botafogo-RJ","João Paulo","Regular"
"Sao Paulo","Hernanes","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Cruzeiro","Thiago Neves","Penalti"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Corinthians","Vágner Love","Penalti"
"Corinthians","Clayson Henrique da Silva Vieira","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Penalti"
"Gremio","Luan Guilherme de Jesus Vieira","Regular"
"Gremio","Pepê","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Internacional","Rodrigo Lindoso","Regular"
"Vasco","Danilo Barcelos","Penalti"
"Athletico-PR","Madson","Regular"
"Palmeiras","Willian Gomes de Siqueira","Regular"
"CSA","Carlos Andrade Souza","Regular"
"Goias","Rafael Vaz","Regular"
"Goias","Yago Rocha","Regular"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Avai","Jonathan","Regular"
"Bahia","José Élber Pimentel da Silva","Regular"
"Bahia","Artur Victor Guimarães","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Flamengo","Bruno Henrique","Regular"
"Internacional","Edenílson Andrade dos Santos","Regular"
"Goias","Leandro Barcia Montero","Regular"
"Palmeiras","Bruno Henrique Corsini","Regular"
"CSA","Ricardo Bueno","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Palmeiras","Bruno Henrique Corsini","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Palmeiras","Gustavo Gómez","Regular"
"Palmeiras","Willian Gomes de Siqueira","Regular"
"CSA","Apodi","Regular"
"Fluminense","Lucas Veríssimo","Contra"
"Santos","Yeferson Soteldo","Regular"
"Gremio","Luan Guilherme de Jesus Vieira","Regular"
"Avai","Geirton Marques Aires","Regular"
"Gremio","Luciano da Rocha Neves","Regular"
"Gremio","Diego Tardelli","Regular"
"Gremio","Bruno Cortês","Regular"
"Gremio","David Braz","Regular"
"Gremio","André Felipe Ribeiro de Souza","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Athletico-PR","Marco Ruben","Regular"
"Athletico-PR","Nikão","Regular"
"Fortaleza","Wellington Paulista","Penalti"
"Athletico-PR","Léo Cittadini","Regular"
"Corinthians","Ralf de Souza Teles","Regular"
"Chapecoense","Arthur Gomes","Regular"
"Athletico-PR","Nikão","Regular"
"Santos","Carlos Andrés Sánchez","Penalti"
"Santos","Eduardo Sasha","Regular"
"Internacional","Patrick","Regular"
"Palmeiras","Willian Gomes de Siqueira","Regular"
"Fluminense","Nenê","Regular"
"Fluminense","Caio Henrique","Regular"
"Gremio","Patrick","Regular"
"Atletico-MG","Rómulo Otero","Regular"
"Ceara","Thiago Galhardo","Penalti"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Bahia","Nino Paraíba","Regular"
"Bahia","José Élber Pimentel da Silva","Regular"
"Fortaleza","Marcelo da Conceição Benevenuto Malaquias","Contra"
"Goias","Alan Ruschel","Regular"
"Atletico-MG","Rómulo Otero","Regular"
"Vasco","Marcos Antônio Candido Ferreira Júnior","Regular"
"Vasco","Rossicley Pereira da Silva","Penalti"
"Corinthians","Danilo Avelar","Regular"
"Santos","Tailson Pinto Gonçalves","Regular"
"Sao Paulo","Igor Gomes","Regular"
"Fortaleza","Wellington Paulista","Penalti"
"Sao Paulo","Pablo Felipe Teixeira","Regular"
"Bahia","José Fernando Viana de Santana","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Athletico-PR","Léo Cittadini","Regular"
"Internacional","Gustavo Nonato Santana","Regular"
"Cruzeiro","Fred","Penalti"
"Flamengo","Bruno Henrique","Regular"
"Atletico-MG","Nathan Allan de Souza","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Fluminense","Yony González","Regular"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"CSA","Jonatan Gómez","Penalti"
"Avai","Jonathan","Regular"
"CSA","Ricardo Bueno","Regular"
"CSA","Apodi","Regular"
"Botafogo-RJ","Gabriel Costa França","Regular"
"Goias","Marcelo da Conceição Benevenuto Malaquias","Contra"
"Botafogo-RJ","João Paulo","Regular"
"Botafogo-RJ","Leonardo Valencia","Regular"
"CSA","Jonatan Gómez","Penalti"
"Fortaleza","Wellington Paulista","Regular"
"Fortaleza","Wellington Paulista","Penalti"
"Gremio","Pedro Geromel","Regular"
"Ceara","Fabinho","Regular"
"Gremio","Maicon","Penalti"
"Santos","Mário Sérgio Santos Costa","Regular"
"Santos","Gustavo Henrique Vernes","Regular"
"Athletico-PR","Erick Luis Conrado Carvalho","Regular"
"Corinthians","Carlos Gilberto do Nascimento Silva","Regular"
"Corinthians","Mauro Boselli","Regular"
"Athletico-PR","Léo Cittadini","Regular"
"Atletico-MG","Nathan Allan de Souza","Regular"
"Flamengo","Willian Arão","Regular"
"Flamengo","Victor Vinícius Coelho Santos","Regular"
"Flamengo","Reinier","Regular"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Fluminense","Nenê","Penalti"
"Fluminense","Daniel Sampaio Simões","Regular"
"Palmeiras","Thiago dos Santos","Regular"
"Flamengo","Bruno Henrique","Regular"
"Flamengo","Bruno Henrique","Regular"
"Vasco","Yago Pikachu","Penalti"
"Ceara","Bérgson Gustavo Silveira da Silva","Regular"
"Sao Paulo","Reinaldo Manoel da Silva","Penalti"
"Gremio","Maicon","Penalti"
"Gremio","Pepê","Regular"
"Gremio","Alisson Euler de Freitas Castro","Regular"
"Atletico-MG","Franco Di Santo","Penalti"
"Gremio","Rafael Galhardo","Regular"
"Chapecoense","Camilo","Regular"
"Cruzeiro","Dedé","Regular"
"CSA","Alecsandro","Regular"
"CSA","Jonatan Gómez","Penalti"
"Atletico-MG","Réver","Regular"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Bahia","Arthur Caike do Nascimento Cruz","Penalti"
"Flamengo","Gabriel Barbosa","Penalti"
"Fortaleza","Bruno Ferreira Melo","Penalti"
"Flamengo","Reinier","Regular"
"Cruzeiro","Thiago Neves","Regular"
"Palmeiras","Felipe Melo","Regular"
"Vasco","Bruno Gomes","Regular"
"Vasco","Ribamar","Regular"
"Botafogo-RJ","Marcelo da Conceição Benevenuto Malaquias","Regular"
"Corinthians","Janderson","Regular"
"Corinthians","Gustavo","Penalti"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Goias","Leandro Barcia Montero","Regular"
"Fluminense","Frazan","Regular"
"Athletico-PR","Madson","Regular"
"Athletico-PR","Madson","Regular"
"Ceara","Lima","Regular"
"Santos","Eduardo Sasha","Regular"
"Santos","Gustavo Henrique Vernes","Regular"
"Internacional","Patrick","Regular"
"Internacional","Martín Sarrafiore","Regular"
"Fortaleza","Wellington Paulista","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Gremio","Paulo Miranda","Regular"
"Cruzeiro","Éderson","Regular"
"Cruzeiro","Fred","Penalti"
"Corinthians","Fagner","Regular"
"Vasco","Marrony","Regular"
"Sao Paulo","Robert Arboleda","Regular"
"Atletico-MG","Leonardo Silva","Regular"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Flamengo","Bruno Henrique","Regular"
"Flamengo","Gerson Santos da Silva","Regular"
"Goias","Rafael Diniz Alves e Silva","Regular"
"Goias","Rafael Vaz","Regular"
"Chapecoense","Henrique Almeida","Penalti"
"Chapecoense","Everaldo Stum","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Palmeiras","Deyverson","Regular"
"Bahia","Artur Victor Guimarães","Regular"
"Ceara","Luiz Otávio","Regular"
"Ceara","Luiz Otávio","Regular"
"CSA","Ricardo Bueno","Penalti"
"Botafogo-RJ","Luciano Castán","Contra"
"Botafogo-RJ","Igor Cássio","Regular"
"Cruzeiro","Luis Manuel Orejuela","Regular"
"Fortaleza","Wellington Paulista","Regular"
"Ceara","Bérgson Gustavo Silveira da Silva","Regular"
"Vasco","Rossicley Pereira da Silva","Regular"
"Internacional","Paolo Guerrero","Regular"
"Internacional","Paolo Guerrero","Regular"
"Bahia","Artur Victor Guimarães","Regular"
"Internacional","Guilherme Parede","Regular"
"Bahia","José Carlos Ferreira Júnior","Regular"
"Chapecoense","Everaldo Stum","Regular"
"Fluminense","Marcos Paulo Costa do Nascimento","Regular"
"Athletico-PR","Rony","Regular"
"Athletico-PR","Adriano Correia Claro","Regular"
"Athletico-PR","Marco Ruben","Regular"
"Athletico-PR","Léo Pereira","Regular"
"Goias","Rafael Moura","Regular"
"Gremio","Maicon","Regular"
"Gremio","Thaciano","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Sao Paulo","Vitor Bueno","Regular"
"Sao Paulo","Igor Gomes","Regular"
"Avai","João Paulo","Penalti"
"Palmeiras","Deyverson","Regular"
"Palmeiras","Gustavo Scarpa","Penalti"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Palmeiras","Felipe Melo","Regular"
"Palmeiras","Gustavo Scarpa","Regular"
"Palmeiras","Bruno Henrique Corsini","Regular"
"Chapecoense","Henrique Almeida","Regular"
"Chapecoense","Everaldo Stum","Regular"
"Fortaleza","Romarinho","Regular"
"Avai","Vinícius Vasconcelos Araújo","Regular"
"Fortaleza","Wellington Paulista","Penalti"
"Fortaleza","Paulo Marcos de Jesus Ribeiro","Regular"
"Gremio","Luciano da Rocha Neves","Penalti"
"Vasco","Fredy Guarín","Regular"
"Gremio","Pepê","Regular"
"Gremio","Everton Sousa Soares","Regular"
"Ceara","Mateus Gonçalves Martins","Regular"
"Ceara","Bérgson Gustavo Silveira da Silva","Regular"
"CSA","Apodi","Regular"
"CSA","Ricardo Bueno","Regular"
"Corinthians","Pedrinho","Regular"
"Santos","Carlos Andrés Sánchez","Penalti"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Flamengo","Rodrigo Caio","Regular"
"Goias","Rafael Moura","Regular"
"Athletico-PR","Rony","Regular"
"Internacional","Rodrigo Lindoso","Regular"
"Cruzeiro","Carlos de Menezes Júnior","Regular"
"Cruzeiro","Éderson","Regular"
"Fortaleza","Gabriel Dias de Oliveira","Regular"
"Atletico-MG","Patric Cabral Lalau","Regular"
"Atletico-MG","Fábio Santos","Regular"
"Fortaleza","Gabriel Dias de Oliveira","Regular"
"Palmeiras","José Rafael Vivian","Regular"
"Sao Paulo","Bruno Alves","Regular"
"Sao Paulo","Vitor Bueno","Regular"
"Sao Paulo","Antony Matheus dos Santos","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Flamengo","Bruno Henrique","Regular"
"Flamengo","Bruno Henrique","Regular"
"Flamengo","Victor Vinícius Coelho Santos","Regular"
"Flamengo","Bruno Henrique","Regular"
"Corinthians","Mateus Vital","Regular"
"Gremio","Pedro Geromel","Regular"
"Gremio","Rômulo Borges Monteiro","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Santos","Yeferson Soteldo","Regular"
"Santos","Yeferson Soteldo","Regular"
"Santos","Eduardo Sasha","Regular"
"Botafogo-RJ","Igor Cássio","Regular"
"Cruzeiro","Luiz Ricardo Alves","Regular"
"Bahia","José Fernando Viana de Santana","Penalti"
"Goias","Thalles","Regular"
"Goias","Rafael Moura","Penalti"
"Corinthians","Júnior Urso","Regular"
"Fortaleza","Romarinho","Regular"
"Corinthians","Mauro Boselli","Regular"
"Fortaleza","Kieza","Regular"
"Corinthians","Mauro Boselli","Regular"
"Atletico-MG","Bruninho","Regular"
"Atletico-MG","José Marcos Costa Martins","Regular"
"Avai","João Paulo","Regular"
"Santos","Eduardo Sasha","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Vasco","Mayke","Contra"
"Palmeiras","Lucas Rafael Araújo Lima","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Bahia","Marco Antonio Rosa Furtado Júnior","Regular"
"Chapecoense","Henrique Almeida","Regular"
"Ceara","Thiago Galhardo","Regular"
"Ceara","Mateus Gonçalves Martins","Regular"
"Fluminense","Rodrigo Junior Paula Silva","Regular"
"Fluminense","Marcos Paulo Costa do Nascimento","Regular"
"Flamengo","Lincoln Corrêa dos Santos","Regular"
"Gremio","Ronaldo Alves","Contra"
"Gremio","Diego Tardelli","Regular"
"CSA","Rafinha","Regular"
"Santos","Yeferson Soteldo","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Santos","Yeferson Soteldo","Regular"
"Palmeiras","Bruno Henrique Corsini","Regular"
"Corinthians","Michel Macedo Rocha Machado","Regular"
"Athletico-PR","Marcelo Cirino da Silva","Regular"
"Internacional","William Pottker","Regular"
"Internacional","William Pottker","Regular"
"Fluminense","Wellington Nem","Regular"
"Flamengo","Reinier","Regular"
"Flamengo","Bruno Henrique","Regular"
"Bahia","Willian Arão","Contra"
"Flamengo","Gabriel Barbosa","Regular"
"Gremio","Luciano da Rocha Neves","Regular"
"Fortaleza","Wellington Paulista","Regular"
"Vasco","Raul","Regular"
"Vasco","Oswaldo José Henríquez Bocanegra","Regular"
"Vasco","Carlos Andrade Souza","Contra"
"Botafogo-RJ","Ricardo Thalheimer","Contra"
"Botafogo-RJ","Diego Souza","Penalti"
"Flamengo","Bruno Henrique","Regular"
"Vasco","Ribamar","Regular"
"Flamengo","Danilo Barcelos","Contra"
"Flamengo","Bruno Henrique","Regular"
"Vasco","Yago Pikachu","Penalti"
"Vasco","Marrony","Regular"
"Flamengo","Éverton Ribeiro","Regular"
"Vasco","Marcos Antônio Candido Ferreira Júnior","Regular"
"Sao Paulo","Daniel Alves","Regular"
"Santos","Carlos Andrés Sánchez","Penalti"
"Atletico-MG","Franco Di Santo","Regular"
"Fluminense","Patric Cabral Lalau","Contra"
"Athletico-PR","Thonny Anderson","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Bahia","Arthur Caike do Nascimento Cruz","Regular"
"Palmeiras","Miguel Borja","Regular"
"Chapecoense","Everaldo Stum","Regular"
"Fortaleza","Paulo Marcos de Jesus Ribeiro","Regular"
"Fortaleza","Paulo Roberto Valoura Junior","Regular"
"Fortaleza","Tinga","Regular"
"Vasco","Fredy Guarín","Regular"
"Goias","Oswaldo José Henríquez Bocanegra","Contra"
"Santos","Diego Pituca","Regular"
"Santos","Eduardo Sasha","Regular"
"Cruzeiro","Luis Manuel Orejuela","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Santos","Yeferson Soteldo","Regular"
"Athletico-PR","Vitor Hugo Naum dos Santos","Regular"
"Gremio","Pepê","Regular"
"Palmeiras","Bruno Henrique Corsini","Penalti"
"Gremio","Everton Sousa Soares","Penalti"
"Goias","Rafael Moura","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Regular"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Bahia","João Pedro Maturano dos Santos","Regular"
"Goias","Gilberto dos Santos Souza Júnior","Regular"
"Bahia","José Fernando Viana de Santana","Regular"
"Goias","Jonathan Marlone","Regular"
"Botafogo-RJ","Diego Souza","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Fortaleza","Tinga","Regular"
"Internacional","Paolo Guerrero","Regular"
"Internacional","Paolo Guerrero","Regular"
"Chapecoense","Everaldo Stum","Regular"
"Ceara","Felipe de Oliveira Silva","Regular"
"Sao Paulo","Vitor Bueno","Regular"
"Fluminense","Yony González","Regular"
"Goias","Michael Richard Delgado de Oliveira","Regular"
"Internacional","Paolo Guerrero","Regular"
"Goias","Rafael Moura","Regular"
"Botafogo-RJ","Rhuan","Regular"
"Athletico-PR","Márcio Azevedo","Regular"
"Athletico-PR","Nikão","Penalti"
"Bahia","José Élber Pimentel da Silva","Regular"
"Atletico-MG","Juan Cazares","Regular"
"Corinthians","Mauro Boselli","Regular"
"Corinthians","Gustavo","Regular"
"Corinthians","Júnior Urso","Regular"
"Flamengo","Victor Vinícius Coelho Santos","Regular"
"Flamengo","Bruno Henrique","Regular"
"Ceara","Thiago Galhardo","Regular"
"Flamengo","Bruno Henrique","Regular"
"Flamengo","Bruno Henrique","Regular"
"Fluminense","Marcos Paulo Costa do Nascimento","Regular"
"Santos","Carlos Andrés Sánchez","Regular"
"Fortaleza","Edinho","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Sao Paulo","Antony Matheus dos Santos","Regular"
"CSA","Alan Henrique Costa","Regular"
"Internacional","Paolo Guerrero","Regular"
"Ceara","Mateus Gonçalves Martins","Regular"
"Athletico-PR","Madson","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Palmeiras","Matheus Fernandes","Regular"
"Fluminense","Marcos Paulo Costa do Nascimento","Regular"
"Avai","João Paulo","Penalti"
"Fortaleza","Bruno Ferreira Melo","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Goias","Rafael Moura","Regular"
"Bahia","Arthur Caike do Nascimento Cruz","Regular"
"CSA","Nílton Ferreira Júnior","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Regular"
"Atletico-MG","Fábio Santos","Penalti"
"Atletico-MG","Juan Cazares","Regular"
"Corinthians","Janderson","Regular"
"Santos","Evandro Goebel","Regular"
"Santos","Lucas Veríssimo","Regular"
"Gremio","Luciano da Rocha Neves","Regular"
"Gremio","Luciano da Rocha Neves","Penalti"
"Gremio","Alisson Euler de Freitas Castro","Regular"
"Vasco","Fredy Guarín","Regular"
"Athletico-PR","Marco Ruben","Regular"
"Atletico-MG","Jair Rodrigues Júnior","Regular"
"Atletico-MG","Luan Madson Gedeão de Paiva","Regular"
"Corinthians","Gustavo","Regular"
"Chapecoense","Gustavo Campanharo","Regular"
"Chapecoense","Arthur Gomes","Regular"
"Chapecoense","Maurício Ramos","Regular"
"Sao Paulo","Vitor Bueno","Regular"
"Internacional","Guilherme Parede","Regular"
"Sao Paulo","Antony Matheus dos Santos","Regular"
"Gremio","Aldemir Ferreira","Regular"
"Gremio","Pepê","Penalti"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Palmeiras","Gabriel Veron","Regular"
"Palmeiras","José Rafael Vivian","Regular"
"Palmeiras","Gabriel Veron","Regular"
"Goias","Rafael Moura","Penalti"
"Vasco","Marrony","Regular"
"Bahia","Gilberto Oliveira Souza Junior","Penalti"
"Flamengo","Lincoln Corrêa dos Santos","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Flamengo","Reinier","Regular"
"Flamengo","Diego Ribas","Regular"
"Flamengo","Reinier","Regular"
"Flamengo","Gabriel Barbosa","Regular"
"Avai","Lourenço","Regular"
"Corinthians","Gustavo","Regular"
"Fluminense","Francisco Evanilson de Lima Barbosa","Regular"
"Fluminense","Francisco Evanilson de Lima Barbosa","Regular"
"Ceara","Thiago Galhardo","Penalti"
"Botafogo-RJ","Marcos Vinícius de Jesus Araújo","Regular"
"Internacional","Víctor Cuesta","Regular"
"Atletico-MG","Rómulo Otero","Regular"
"Internacional","Paolo Guerrero","Regular"
"CSA","Jarro Pedroso","Regular"
"Sao Paulo","Jonas Toró","Regular"
"Sao Paulo","Igor Vinícius","Regular"
"Palmeiras","José Rafael Vivian","Regular"
"Palmeiras","Eduardo Pereira Rodrigues","Regular"
"Goias","Rafael Moura","Regular"
"Gremio","Isaque Elias","Regular"
"Goias","Rafael Moura","Regular"
"Goias","Yago Rocha","Regular"
"Gremio","Patrick","Regular"
"Chapecoense","Vinícius","Regular"
"Vasco","Yago Pikachu","Penalti"
"Bahia","Artur Victor Guimarães","Regular"
"Fortaleza","Osvaldo Filho","Regular"
"Fortaleza","Tinga","Regular"
"Santos","Carlos Andrés Sánchez","Regular"
"Santos","Carlos Andrés Sánchez","Regular"
"Santos","Eduardo Sasha","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Sport","Elton Rodrigues Brandão","Regular"
"Sport","Jonatan Gómez","Regular"
"Ceara","Cléber","Regular"
"Sport","Elton Rodrigues Brandão","Penalti"
"Ceara","Vítor Jacaré","Regular"
"Internacional","Paolo Guerrero","Regular"
"Athletico-PR","Vitor Hugo Naum dos Santos","Regular"
"Athletico-PR","Léo Cittadini","Regular"
"Atletico-MG","Filipe Luís","Contra"
"Santos","Mário Sérgio Santos Costa","Regular"
"Bragantino","Claudinho","Regular"
"Gremio","Diego Souza","Regular"
"Athletico-PR","Carlos Eduardo Ferreira de Souza","Regular"
"Goias","Daniel Bessa","Penalti"
"Athletico-PR","Vitor Hugo Naum dos Santos","Regular"
"Bragantino","Alerrandro Barra Mansa Realino de Souza","Regular"
"Botafogo-RJ","Matheus Babi","Regular"
"Corinthians","Jô","Regular"
"Atletico-MG","Hyoran","Regular"
"Corinthians","Ángelo Araos","Regular"
"Atletico-MG","Hyoran","Regular"
"Atletico-MG","Nathan Allan de Souza","Regular"
"Bahia","Rodrigo Eduardo Costa Marinho","Penalti"
"Atletico-GO","Hyuri","Regular"
"Atletico-GO","Jorginho","Regular"
"Atletico-GO","Gustavo Ferrareis","Regular"
"Gremio","Thaciano","Regular"
"Ceara","Cléber","Regular"
"Fluminense","Francisco Evanilson de Lima Barbosa","Regular"
"Palmeiras","Luiz Adriano","Regular"
"Sao Paulo","Daniel Alves","Regular"
"Internacional","Paolo Guerrero","Regular"
"Internacional","Edenílson Andrade dos Santos","Regular"
"Vasco","Fellipe Bastos","Regular"
"Vasco","Fellipe Bastos","Regular"
"Flamengo","Giorgian De Arrascaeta","Regular"
"Palmeiras","Gustavo Gómez","Regular"
"Goias","Rafael Vaz","Regular"
"Atletico-MG","Marrony","Penalti"
"Atletico-MG","Marrony","Regular"
"Bahia","José Carlos Ferreira Júnior","Regular"
"Bahia","Ernando Rodrigues Lopes","Regular"
"Bragantino","Léo Ortiz","Regular"
"Vasco","Germán Cano","Regular"
"Vasco","Germán Cano","Regular"
"Sao Paulo","Reinaldo Manoel da Silva","Penalti"
"Fluminense","Nenê","Penalti"
"Internacional","Paolo Guerrero","Regular"
"Fluminense","Nenê","Penalti"
"Atletico-GO","Jorginho","Regular"
"Sport","Iago Maidana","Regular"
"Santos","Yeferson Soteldo","Regular"
"Santos","Felipe Jonatan","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Athletico-PR","Abner Vinícius","Regular"
"Gremio","Pepê","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Bragantino","Alerrandro Barra Mansa Realino de Souza","Regular"
"Bragantino","Luis Phelipe","Regular"
"Fluminense","Nenê","Regular"
"Palmeiras","Raphael Cavalcante Veiga","Regular"
"Internacional","Damián Musto","Regular"
"Internacional","Thiago Galhardo","Regular"
"Internacional","Thiago Galhardo","Penalti"
"Fortaleza","Yuri César","Regular"
"Goias","Jefferson","Regular"
"Fortaleza","Wellington Paulista","Regular"
"Fortaleza","Bruno Ferreira Melo","Regular"
"Corinthians","Jô","Regular"
"Corinthians","Gustavo Mosquito","Regular"
"Coritiba","Luiz Ricardo Alves","Regular"
"Corinthians","Leonardo Natel","Regular"
"Botafogo-RJ","Caio Alexandre","Regular"
"Atletico-MG","Igor Rabello","Regular"
"Botafogo-RJ","Luiz Fernando Moraes dos Santos","Regular"
"Santos","Mário Sérgio Santos Costa","Regular"
"Vasco","Fellipe Bastos","Regular"
"Vasco","Ribamar","Regular"
"Vasco","Germán Cano","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Bahia","Rossicley Pereira da Silva","Regular"
"Fluminense","Felipe Aguilar","Contra"
"Internacional","Thiago Galhardo","Regular"
"Goias","Daniel Bessa","Regular"
"Goias","Victor Andrade","Regular"
"Botafogo-RJ","Pedro Raúl","Regular"
"Flamengo","Gabriel Barbosa","Penalti"
"Bragantino","Alerrandro Barra Mansa Realino de Souza","Regular"
"Coritiba","Sabino","Penalti"
"Coritiba","Robson Fernandes","Regular"
"Palmeiras","Patrick de Paula","Regular"
"Palmeiras","Luiz Adriano","Penalti"
"Santos","Ramires","Contra"
"Sao Paulo","Pablo Felipe Teixeira","Regular"
"Ceara","Cléber","Regular"
"Ceara","Mateus Gonçalves Martins","Regular"
"Fortaleza","Romarinho","Regular"
"Corinthians","Luan Guilherme de Jesus Vieira","Regular"
"Sao Paulo","Luciano da Rocha Neves","Regular"
"Internacional","Thiago Galhardo","Regular"
"Internacional","Gabriel Boschilia","Regular"
"Fluminense","Fred","Regular"
"Vasco","Talles Magno","Regular"
"Fluminense","Douglas Moreira","Regular"
"Bahia","Marco Antonio Rosa Furtado Júnior","Regular"
"Palmeiras","José Rafael Vivian","Regular"
"Fortaleza","Wellington Paulista","Regular"
"Fortaleza","Wellington Paulista","Regular"
