"clube","cartao","atleta"
"Atletico-MG","Amarelo","Gustavo Blanco"
"Parana","Amarelo","Vitor Feijão"
"Santos","Amarelo","Gabriel Barbosa"
"Parana","Amarelo","Jorge González"
"Ceara","Amarelo","Rafael Bruno Cajueiro da Silva"
"America-MG","Amarelo","Aderlan Silva"
"America-MG","Amarelo","Leandro Donizete"
"America-MG","Amarelo","Luan Michel Louzã"
"Botafogo-RJ","Amarelo","Joel Carli"
"Fluminense","Amarelo","Luan Peres Petroni"
"Botafogo-RJ","Amarelo","Renatinho"
"Fluminense","Amarelo","Richard Candido Coelho"
"Cruzeiro","Vermelho","Federico Mancuello"
"Atletico-MG","Amarelo","Elias Mendes Trindade"
"Atletico-MG","Amarelo","Emerson Royal"
"Cruzeiro","Amarelo","Bruno César Pereira da Silva"
"Atletico-MG","Amarelo","Adílson Warken"
"Cruzeiro","Amarelo","Federico Mancuello"
"Flamengo","Vermelho","Luiz Rhodolfo Dini Gaioto"
"Vasco","Vermelho","Duvier Riascos"
"Flamengo","Amarelo","Éverton Ribeiro"
"Vasco","Amarelo","Andrés Ríos"
"Flamengo","Vermelho","Gustavo Cuellar"
"Vasco","Vermelho","Breno Vinícius Rodrigues Borges"
"Flamengo","Amarelo","Gustavo Cuellar"
"Vasco","Amarelo","Kelvin Mateus de Oliveira"
"Vasco","Amarelo","Bruno da Silva Barbosa"
"Palmeiras","Amarelo","Antonio Carlos Capocasali"
"Palmeiras","Amarelo","Miguel Borja"
"Bahia","Amarelo","Lucas Fonseca"
"Palmeiras","Amarelo","Lucas Rafael Araújo Lima"
"Bahia","Amarelo","Gregore"
"Vitoria","Amarelo","Jeferson"
"Vitoria","Amarelo","André Lima"
"Vitoria","Amarelo","Guilherme Costa Machado Silveira"
"Vitoria","Amarelo","Antônio Eduardo Pereira dos Santos"
"America-MG","Amarelo","Norberto Pereira Marinho Neto"
"Botafogo-RJ","Amarelo","Bochecha"
"Botafogo-RJ","Amarelo","Luiz Fernando Moraes dos Santos"
"America-MG","Amarelo","Juninho"
"Botafogo-RJ","Amarelo","Rodrigo Aguirre"
"Botafogo-RJ","Amarelo","Joel Carli"
"Parana","Amarelo","Carlos Júnior"
"Parana","Amarelo","Jhonny Lucas"
"Gremio","Amarelo","Pepê"
"Sport","Amarelo","Carlos Henrique Alves Pereira"
"Corinthians","Amarelo","Gabriel Girotto Franco"
"Corinthians","Amarelo","Paulo Roberto da Silva"
"Sport","Amarelo","Ernando Rodrigues Lopes"
"Corinthians","Amarelo","Juninho Capixaba"
"Sao Paulo","Amarelo","Reinaldo Manoel da Silva"
"Sao Paulo","Amarelo","Anderson Martins"
"Santos","Amarelo","Yuri Alberto"
"Sao Paulo","Vermelho","Anderson Martins"
"Sao Paulo","Amarelo","Hudson"
"Sao Paulo","Amarelo","Éder Militão"
"Santos","Amarelo","David Braz"
"Athletico-PR","Amarelo","Lucho González"
"Fluminense","Amarelo","Matheus Alessandro"
"Athletico-PR","Amarelo","Matheus Rossetto"
"Internacional","Amarelo","Víctor Cuesta"
"Chapecoense","Amarelo","Bruno Pacheco"
"Chapecoense","Amarelo","Wellington Paulista"
"Chapecoense","Amarelo","Bruno Pacheco"
"Fluminense","Amarelo","Marlon Rodrigues Xavier"
"Sport","Vermelho","Raul Prata"
"Palmeiras","Amarelo","Diogo Barbosa"
"Sport","Amarelo","Raul Prata"
"Sport","Amarelo","Anselmo de Moraes"
"Palmeiras","Amarelo","Marcos Rocha"
"Palmeiras","Amarelo","Felipe Melo"
"Sport","Amarelo","Ernando Rodrigues Lopes"
"Flamengo","Amarelo","Vinícius Júnior"
"Flamengo","Amarelo","Lucas Paquetá"
"Atletico-MG","Amarelo","Luan Madson Gedeão de Paiva"
"Flamengo","Amarelo","Thuler"
"Flamengo","Amarelo","Rodinei de Almeida"
"Parana","Amarelo","Hueglo dos Santos Neris"
"Parana","Amarelo","Leandro Vilela"
"Parana","Amarelo","Junior"
"Athletico-PR","Amarelo","Guilherme Milhomem Gusmão"
"Internacional","Amarelo","Leandro Damião"
"Internacional","Amarelo","Iago"
"Internacional","Amarelo","Edenílson Andrade dos Santos"
"Corinthians","Amarelo","Maycon de Andrade Barberan"
"Bahia","Amarelo","Júnior Brumado"
"Vasco","Amarelo","Wagner Ferreira dos Santos"
"Vasco","Amarelo","Fabrício dos Santos Silva"
"Vasco","Amarelo","Rafael Galhardo"
"Vasco","Vermelho","Leandro Luis Desábato"
"Vasco","Amarelo","Giovanni Augusto"
"Vasco","Amarelo","Ricardo Graça"
"Vasco","Amarelo","Leandro Luis Desábato"
"Botafogo-RJ","Amarelo","Matheus Fernandes"
"Vitoria","Amarelo","Neilton Mestzk"
"Vitoria","Amarelo","Rhayner"
"Vitoria","Amarelo","Yago Rocha"
"Vitoria","Amarelo","Jeferson"
"Cruzeiro","Amarelo","Róbson Michael Signorini"
"Cruzeiro","Amarelo","Egídio de Araújo Pereira Júnior"
"Santos","Amarelo","Diego Pituca"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Ceara","Amarelo","Elton Rodrigues Brandão"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Ceara","Amarelo","Wescley"
"Ceara","Amarelo","Samuel Xavier"
"Gremio","Amarelo","Everton Sousa Soares"
"America-MG","Amarelo","Giovanni"
"America-MG","Amarelo","Aderlan Silva"
"Sao Paulo","Amarelo","Bruno Alves"
"America-MG","Amarelo","Ademir"
"America-MG","Amarelo","Matheus Ferraz Pereira"
"Sao Paulo","Amarelo","Éder Militão"
"Sao Paulo","Amarelo","Hudson"
"Vitoria","Amarelo","Jeferson"
"Vitoria","Amarelo","José Welison"
"Internacional","Amarelo","Víctor Cuesta"
"Vitoria","Amarelo","Rodrigo Andrade"
"Internacional","Amarelo","Nicolás Federico López"
"Vasco","Vermelho","Moresche"
"Vasco","Amarelo","Ricardo Graça"
"Vasco","Amarelo","Henrique Silva Milagres"
"Parana","Amarelo","Hueglo dos Santos Neris"
"Parana","Vermelho","Hueglo dos Santos Neris"
"Vasco","Amarelo","Andrey"
"Parana","Amarelo","Jhonny Lucas"
"Parana","Amarelo","Jorge González"
"Atletico-MG","Amarelo","Adílson Warken"
"Sport","Amarelo","Ernando Rodrigues Lopes"
"Sport","Amarelo","Anselmo de Moraes"
"Sport","Amarelo","Magrão"
"Sport","Amarelo","Fabricio"
"Atletico-MG","Amarelo","Matheus Galdezani"
"Chapecoense","Amarelo","Héctor Canteros"
"Ceara","Amarelo","Pio"
"Chapecoense","Amarelo","Leandro"
"Ceara","Amarelo","Douglas Coutinho"
"Ceara","Amarelo","Luiz Otávio"
"Sao Paulo","Amarelo","Shaylon"
"Botafogo-RJ","Amarelo","Matheus Fernandes"
"Botafogo-RJ","Amarelo","Marcos Vinícius de Jesus Araújo"
"Sao Paulo","Amarelo","Nenê"
"Botafogo-RJ","Amarelo","Joel Carli"
"Fluminense","Amarelo","Douglas Augusto Soares Gomes"
"Fluminense","Amarelo","Renato de Araújo Chaves Júnior"
"Fluminense","Amarelo","Nathan Otávio Ribeiro"
"Gremio","Amarelo","Walter Kannemann"
"Fluminense","Amarelo","Douglas Moreira"
"Fluminense","Amarelo","Junior Sornoza"
"Cruzeiro","Amarelo","Róbson Michael Signorini"
"Palmeiras","Amarelo","Thiago dos Santos"
"Palmeiras","Amarelo","Antonio Carlos Capocasali"
"Palmeiras","Amarelo","Marcos Rocha"
"Cruzeiro","Amarelo","Ariel Cabral"
"Cruzeiro","Amarelo","Thiago Neves"
"Palmeiras","Amarelo","Moisés Lima Magalhães"
"Palmeiras","Amarelo","Bruno Henrique Corsini"
"Palmeiras","Amarelo","Willian Gomes de Siqueira"
"Bahia","Amarelo","José Élber Pimentel da Silva"
"Bahia","Amarelo","Gregore"
"America-MG","Vermelho","Luan Michel Louzã"
"Corinthians","Amarelo","Marquinhos"
"America-MG","Amarelo","Giovanni"
"America-MG","Amarelo","Juninho"
"America-MG","Vermelho","Wesley Lopes Beltrame"
"Corinthians","Amarelo","Paulo Roberto da Silva"
"America-MG","Amarelo","Wesley Lopes Beltrame"
"Santos","Amarelo","Bruno Henrique"
"Athletico-PR","Amarelo","Pablo Felipe Teixeira"
"Internacional","Amarelo","Rodrigo Moledo"
"Sport","Amarelo","Raul Prata"
"Sport","Amarelo","Sander Henrique Bortolotto"
"Internacional","Amarelo","Patrick"
"Internacional","Amarelo","Rodrigo Dourado"
"Sport","Amarelo","Magrão"
"Chapecoense","Vermelho","Leandro"
"Atletico-MG","Amarelo","Luan Madson Gedeão de Paiva"
"Chapecoense","Amarelo","Gustavo Bonatto Barreto"
"Chapecoense","Amarelo","Leandro"
"Atletico-MG","Amarelo","Fábio Santos"
"Chapecoense","Amarelo","Jandrei"
"Chapecoense","Amarelo","Wellington Paulista"
"Vasco","Amarelo","Luiz Gustavo"
"Botafogo-RJ","Amarelo","Rodrigo Lindoso"
"Botafogo-RJ","Amarelo","Rodrigo Pimpão"
"Vasco","Amarelo","Wagner Ferreira dos Santos"
"Botafogo-RJ","Amarelo","Márcio Almeida de Oliveira"
"Botafogo-RJ","Amarelo","Jean Carlos de Souza Irmer"
"Palmeiras","Amarelo","Jailson"
"Palmeiras","Amarelo","Felipe Melo"
"Sao Paulo","Amarelo","Bruno Alves"
"Sao Paulo","Amarelo","Anderson Martins"
"Palmeiras","Amarelo","Antonio Carlos Capocasali"
"Palmeiras","Amarelo","Eduardo Pereira Rodrigues"
"Sao Paulo","Amarelo","Nenê"
"Sao Paulo","Amarelo","Éder Militão"
"Flamengo","Amarelo","Diego Ribas"
"Corinthians","Amarelo","Fabián Balbuena"
"Flamengo","Amarelo","Renê Rodrigues Martins"
"Flamengo","Amarelo","Jonas Gomes de Sousa"
"America-MG","Amarelo","Matheus Ferraz Pereira"
"Athletico-PR","Amarelo","Guilherme Milhomem Gusmão"
"Athletico-PR","Amarelo","Lucho González"
"Vitoria","Amarelo","Antônio Eduardo Pereira dos Santos"
"Vitoria","Amarelo","Wallyson"
"Vitoria","Amarelo","Lucas Marques"
"Vitoria","Amarelo","Rodrigo Andrade"
"Bahia","Amarelo","Douglas Friedrich"
"Gremio","Amarelo","Everton Sousa Soares"
"Gremio","Amarelo","Bruno Cortês"
"Bahia","Amarelo","José Rafael Vivian"
"Gremio","Amarelo","Maicon"
"Gremio","Amarelo","Bressan"
"Gremio","Amarelo","Jailson Marques Siqueira"
"Ceara","Amarelo","Arthur Mendonça Cabral"
"Cruzeiro","Amarelo","Rafael Sóbis"
"Cruzeiro","Amarelo","Bruno César Pereira da Silva"
"Ceara","Amarelo","Juninho Piauiense"
"Cruzeiro","Amarelo","Lucas Silva Borges"
"Cruzeiro","Amarelo","Luiz Ricardo Alves"
"Parana","Amarelo","Guilherme Biteco"
"Parana","Amarelo","Jesiel Cardoso Miranda"
"Parana","Amarelo","Thiago Santos"
"Fluminense","Amarelo","Leonardo Moreira Morais"
"Parana","Amarelo","Wesley Dias Claudino"
"Parana","Amarelo","Rayan"
"Parana","Amarelo","Jorge González"
"Fluminense","Amarelo","Marlon Rodrigues Xavier"
"Fluminense","Amarelo","João Carlos"
"Sao Paulo","Amarelo","Éverton Cardoso da Silva"
"Sao Paulo","Amarelo","Éder Militão"
"Internacional","Amarelo","Danilo Fernandes"
"Sao Paulo","Amarelo","Liziero"
"Sao Paulo","Amarelo","Santiago Tréllez"
"Internacional","Amarelo","Edenílson Andrade dos Santos"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Ceara","Amarelo","Romário Guilherme dos Santos"
"Ceara","Amarelo","Luiz Otávio"
"Vitoria","Amarelo","André Lima"
"Vitoria","Amarelo","Antônio Eduardo Pereira dos Santos"
"Chapecoense","Amarelo","Rafael Thyere de Albuquerque Marques"
"Vitoria","Amarelo","Neilton Mestzk"
"Chapecoense","Amarelo","Arthur Caike do Nascimento Cruz"
"Sport","Amarelo","Deivid Willian da Silva"
"Athletico-PR","Amarelo","Ivaldo"
"Athletico-PR","Amarelo","Nikão"
"Sport","Amarelo","Ronaldo Alves"
"Athletico-PR","Amarelo","Bérgson Gustavo Silveira da Silva"
"Athletico-PR","Amarelo","Thiago Heleno"
"Corinthians","Amarelo","Ángel Romero"
"Corinthians","Amarelo","Roger Rodrigues da Silva"
"Santos","Amarelo","Victor Ferraz"
"Corinthians","Amarelo","Colin Kâzım-Richards"
"Santos","Amarelo","Lucas Veríssimo"
"Gremio","Amarelo","Paulo Victor Mileo Vidotti"
"Palmeiras","Amarelo","Hyoran"
"Palmeiras","Amarelo","Felipe Melo"
"Gremio","Amarelo","Luan Guilherme de Jesus Vieira"
"Palmeiras","Amarelo","Bruno Henrique Corsini"
"Palmeiras","Amarelo","Moisés Lima Magalhães"
"Palmeiras","Amarelo","Eduardo Pereira Rodrigues"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"Vasco","Amarelo","Wagner Ferreira dos Santos"
"Parana","Amarelo","Caio Henrique"
"Parana","Amarelo","Leandro Vilela"
"Bahia","Amarelo","Gregore"
"Parana","Amarelo","Carlos Júnior"
"Parana","Amarelo","Jhonny Lucas"
"Bahia","Amarelo","Vinícius"
"Fluminense","Amarelo","Robson Azevedo da Silva"
"Fluminense","Amarelo","Richard Candido Coelho"
"Fluminense","Amarelo","Marlon Rodrigues Xavier"
"Flamengo","Amarelo","Lucas Paquetá"
"Fluminense","Amarelo","Matheus Alessandro"
"Fluminense","Amarelo","Gilberto Moraes Júnior"
"Flamengo","Amarelo","Renê Rodrigues Martins"
"America-MG","Amarelo","Norberto Pereira Marinho Neto"
"Atletico-MG","Amarelo","Leonardo Silva"
"America-MG","Amarelo","Serginho"
"Atletico-MG","Amarelo","Elias Mendes Trindade"
"Athletico-PR","Amarelo","Guilherme Camacho"
"Sao Paulo","Amarelo","Hudson"
"Sao Paulo","Amarelo","Jucilei"
"Athletico-PR","Amarelo","Raphael Cavalcante Veiga"
"Athletico-PR","Amarelo","Bérgson Gustavo Silveira da Silva"
"Sao Paulo","Amarelo","Nenê"
"Vasco","Amarelo","Thiago Galhardo"
"Vasco","Amarelo","Henrique Silva Milagres"
"Sport","Amarelo","Deivid Willian da Silva"
"Sport","Amarelo","Magrão"
"Vasco","Amarelo","Paulo Marcos de Jesus Ribeiro"
"Vasco","Amarelo","Ricardo Graça"
"Sport","Amarelo","Michel Bastos"
"Chapecoense","Amarelo","Arthur Caike do Nascimento Cruz"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"Chapecoense","Amarelo","Elicarlos"
"Cruzeiro","Amarelo","Róbson Michael Signorini"
"Cruzeiro","Amarelo","Rafael Sóbis"
"Corinthians","Amarelo","Gabriel Girotto Franco"
"Vitoria","Amarelo","Antônio Eduardo Pereira dos Santos"
"Corinthians","Amarelo","Sidcley Ferreira Pereira"
"Vitoria","Amarelo","Wallyson"
"Gremio","Amarelo","Everton Sousa Soares"
"America-MG","Amarelo","Aderlan Silva"
"America-MG","Amarelo","Aylon"
"Gremio","Amarelo","Cícero Santos"
"America-MG","Amarelo","Giovanni"
"Atletico-MG","Amarelo","Gustavo Blanco"
"Fluminense","Amarelo","Matheus Alessandro"
"Fluminense","Amarelo","Ibañez"
"Atletico-MG","Amarelo","Róger Guedes"
"Bahia","Amarelo","Kayke Moreno"
"Bahia","Amarelo","José Élber Pimentel da Silva"
"Botafogo-RJ","Amarelo","Moisés Roberto Barbosa"
"Botafogo-RJ","Vermelho","Rodrigo Aguirre"
"Bahia","Amarelo","Nino Paraíba"
"Bahia","Amarelo","Régis"
"Botafogo-RJ","Amarelo","Leonardo Valencia"
"Botafogo-RJ","Amarelo","Rodrigo Aguirre"
"Ceara","Amarelo","Elton Rodrigues Brandão"
"Palmeiras","Amarelo","Willian Gomes de Siqueira"
"Ceara","Amarelo","Pio"
"Ceara","Amarelo","Samuel Xavier"
"Palmeiras","Amarelo","Jean Raphael Vanderlei Moreira"
"Santos","Vermelho","Lucas Veríssimo"
"Santos","Amarelo","Bruno Henrique"
"Santos","Amarelo","Jean Mota Oliveira de Souza"
"Internacional","Amarelo","Rossicley Pereira da Silva"
"Internacional","Amarelo","William Pottker"
"Santos","Amarelo","Diego Pituca"
"Internacional","Amarelo","Rodrigo Dourado"
"Internacional","Amarelo","Edenílson Andrade dos Santos"
"Flamengo","Amarelo","Felipe Vizeu"
"Flamengo","Amarelo","Jean Lucas Oliveira"
"Vitoria","Vermelho","Yago Rocha"
"Sao Paulo","Amarelo","Jucilei"
"Sao Paulo","Amarelo","Nenê"
"Vitoria","Amarelo","Neilton Mestzk"
"Sao Paulo","Vermelho","Lucas Fernandes"
"Sao Paulo","Amarelo","Hudson"
"Sao Paulo","Amarelo","Lucas Fernandes"
"Vitoria","Amarelo","Rhayner"
"Vitoria","Amarelo","Bruno Bispo"
"America-MG","Amarelo","Rafael Moura"
"America-MG","Amarelo","Marcos Antônio da Silva Gonçalves"
"America-MG","Amarelo","Gérson Magrão"
"America-MG","Amarelo","Messias Rodrigues da Silva Júnior"
"America-MG","Amarelo","Leandro Donizete"
"Fluminense","Amarelo","Douglas Augusto Soares Gomes"
"Santos","Amarelo","Alison Lopes Ferreira"
"Fluminense","Amarelo","Mateus Norton"
"Santos","Amarelo","Renato Dirnei Florêncio"
"Santos","Amarelo","Diego Pituca"
"Sport","Amarelo","Deivid Willian da Silva"
"Sport","Amarelo","Sander Henrique Bortolotto"
"Gremio","Amarelo","Cícero Santos"
"Sport","Amarelo","Ronaldo Alves"
"Gremio","Amarelo","Kaio Silva Mendes"
"Parana","Amarelo","Rayan"
"Parana","Amarelo","Guilherme Biteco"
"Parana","Amarelo","Hueglo dos Santos Neris"
"Parana","Amarelo","Junior"
"Cruzeiro","Amarelo","Ezequiel"
"Parana","Amarelo","Jhonny Lucas"
"Parana","Amarelo","Carlos Júnior"
"Parana","Amarelo","Igor Aquino da Silva"
"Parana","Amarelo","Jorge González"
"Cruzeiro","Amarelo","Lucas Silva Borges"
"Palmeiras","Vermelho","Jailson"
"Flamengo","Vermelho","Jonas Gomes de Sousa"
"Flamengo","Vermelho","Gustavo Cuellar"
"Palmeiras","Amarelo","Victor Luis"
"Palmeiras","Amarelo","Moisés Lima Magalhães"
"Flamengo","Amarelo","Diego Alves"
"Flamengo","Amarelo","Felipe Vizeu"
"Flamengo","Amarelo","Éverton Ribeiro"
"Palmeiras","Vermelho","Luan Garcia Teixeira"
"Palmeiras","Vermelho","Eduardo Pereira Rodrigues"
"Flamengo","Vermelho","Henrique Dourado"
"Palmeiras","Amarelo","Marcos Rocha"
"Palmeiras","Amarelo","Felipe Melo"
"Flamengo","Amarelo","Vinícius Júnior"
"Flamengo","Amarelo","Matheus Dantas"
"Flamengo","Amarelo","Rodinei de Almeida"
"Athletico-PR","Amarelo","Ivaldo"
"Athletico-PR","Amarelo","Raphael Cavalcante Veiga"
"Bahia","Amarelo","Flávio Medeiros da Silva"
"Bahia","Amarelo","Gregore"
"Corinthians","Amarelo","Junior Dutra"
"Internacional","Amarelo","Fabiano"
"Internacional","Amarelo","Patrick"
"Atletico-MG","Amarelo","Fábio Santos"
"Vitoria","Amarelo","André Lima"
"Parana","Amarelo","Carlos Eduardo Marques"
"Vitoria","Amarelo","Arouca"
"Parana","Amarelo","Rayan"
"Gremio","Amarelo","Maicon"
"Atletico-MG","Amarelo","Gabriel Costa França"
"Atletico-MG","Amarelo","Elias Mendes Trindade"
"Corinthians","Amarelo","Ángel Romero"
"Botafogo-RJ","Amarelo","Matheus Fernandes"
"Corinthians","Amarelo","Pedro Henrique Ribeiro Gonçalves"
"Botafogo-RJ","Amarelo","Rodrigo Aguirre"
"Botafogo-RJ","Amarelo","Gilson Gomes do Nascimento"
"Flamengo","Amarelo","Éverton Ribeiro"
"Sao Paulo","Amarelo","Sidão"
"Sao Paulo","Amarelo","Felipe Araruna"
"Sao Paulo","Vermelho","Felipe Araruna"
"Flamengo","Amarelo","Diego Ribas"
"Flamengo","Amarelo","Rômulo Borges Monteiro"
"Sao Paulo","Amarelo","Reinaldo Manoel da Silva"
"Sao Paulo","Amarelo","Éverton Cardoso da Silva"
"Chapecoense","Amarelo","Luiz Otávio da Silva Santos"
"Bahia","Amarelo","Tiago Pagnussat"
"Bahia","Amarelo","Flávio Medeiros da Silva"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"America-MG","Amarelo","Aderlan Silva"
"Cruzeiro","Amarelo","Ariel Cabral"
"Cruzeiro","Amarelo","Henrique Pacheco Lima"
"Vasco","Amarelo","Andrés Ríos"
"Vasco","Amarelo","Wagner Ferreira dos Santos"
"Fluminense","Amarelo","Douglas Moreira"
"Vasco","Amarelo","Ricardo Graça"
"Vasco","Amarelo","Luiz Gustavo"
"Fluminense","Amarelo","Jadson"
"Santos","Amarelo","Rodrygo Silva de Goes"
"Santos","Amarelo","Alison Lopes Ferreira"
"Palmeiras","Amarelo","Hyoran"
"Palmeiras","Amarelo","Deyverson"
"Palmeiras","Amarelo","Lucas Rafael Araújo Lima"
"Santos","Amarelo","Léo Cittadini"
"Santos","Amarelo","Jean Mota Oliveira de Souza"
"Palmeiras","Amarelo","Gustavo Scarpa"
"Palmeiras","Amarelo","Antonio Carlos Capocasali"
"Palmeiras","Amarelo","Felipe Melo"
"Athletico-PR","Vermelho","Renan Lodi"
"Athletico-PR","Amarelo","Raphael Cavalcante Veiga"
"Athletico-PR","Amarelo","Jonathan Cícero Moreira"
"Internacional","Amarelo","Rossicley Pereira da Silva"
"Internacional","Amarelo","Danilo Silva"
"Athletico-PR","Amarelo","Renan Lodi"
"Athletico-PR","Amarelo","Paulo André"
"Internacional","Amarelo","Rodrigo Dourado"
"Internacional","Amarelo","Lucca Borges de Brito"
"Internacional","Amarelo","Nicolás Federico López"
"Botafogo-RJ","Amarelo","Luiz Fernando Moraes dos Santos"
"Botafogo-RJ","Vermelho","Rodrigo Aguirre"
"Sao Paulo","Amarelo","Anderson Martins"
"Corinthians","Amarelo","Henrique Adriano Buss"
"Corinthians","Amarelo","Gabriel Girotto Franco"
"Corinthians","Amarelo","Rodrigo Eduardo Costa Marinho"
"Sao Paulo","Amarelo","Luan Vinícius da Silva Santos"
"Corinthians","Amarelo","Fagner"
"Corinthians","Amarelo","Pedro Henrique Ribeiro Gonçalves"
"Corinthians","Amarelo","Cássio Ramos"
"Corinthians","Amarelo","Ángel Romero"
"Vitoria","Vermelho","Bryan Silva Garcia"
"Bahia","Amarelo","Lucas Fonseca"
"Vitoria","Amarelo","Luan Silva dos Santos"
"Vitoria","Amarelo","Arouca"
"Vitoria","Amarelo","Jeferson"
"Bahia","Amarelo","Tiago Pagnussat"
"Bahia","Amarelo","José Rafael Vivian"
"Vitoria","Amarelo","Bryan Silva Garcia"
"Vitoria","Amarelo","Walter Bou"
"Vasco","Vermelho","Henrique Silva Milagres"
"Vasco","Amarelo","Thiago Galhardo"
"Vasco","Amarelo","Yago Pikachu"
"Vasco","Amarelo","Henrique Silva Milagres"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Gremio","Amarelo","André Felipe Ribeiro de Souza"
"Gremio","Amarelo","Marcelo Oliveira Ferreira"
"Vasco","Amarelo","Martín Silva"
"Vasco","Amarelo","Breno Vinícius Rodrigues Borges"
"Gremio","Amarelo","Douglas dos Santos"
"Gremio","Amarelo","Jael"
"Gremio","Amarelo","Mário Sérgio Santos Costa"
"Fluminense","Amarelo","Junior Sornoza"
"Fluminense","Amarelo","Douglas Moreira"
"Fluminense","Amarelo","Leonardo Moreira Morais"
"Fluminense","Amarelo","Richard Candido Coelho"
"Fluminense","Amarelo","Ayrton Lucas Dantas de Medeiros"
"Sport","Amarelo","Fellipe Bastos"
"Palmeiras","Amarelo","Moisés Lima Magalhães"
"Atletico-MG","Amarelo","Luan Madson Gedeão de Paiva"
"Atletico-MG","Vermelho","Matheus Galdezani"
"Palmeiras","Amarelo","Edu Dracena"
"Atletico-MG","Amarelo","David Terans"
"Parana","Amarelo","Leandro Vilela"
"America-MG","Amarelo","Gérson Magrão"
"America-MG","Amarelo","Ademir"
"Parana","Amarelo","Alex Paulo Menezes Santana"
"Parana","Amarelo","Mansur"
"America-MG","Amarelo","Aderlan Silva"
"Athletico-PR","Amarelo","Nikão"
"Athletico-PR","Amarelo","Guilherme Milhomem Gusmão"
"Athletico-PR","Vermelho","Lucho González"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"Athletico-PR","Amarelo","Bérgson Gustavo Silveira da Silva"
"Santos","Amarelo","Arthur Gomes"
"Santos","Amarelo","Eduardo Sasha"
"Chapecoense","Amarelo","Wellington Paulista"
"Santos","Amarelo","David Braz"
"Santos","Amarelo","Jean Mota Oliveira de Souza"
"Internacional","Amarelo","Danilo Silva"
"Ceara","Amarelo","Javier Reina"
"Ceara","Amarelo","Arthur Mendonça Cabral"
"Internacional","Amarelo","Rodrigo Dourado"
"Ceara","Amarelo","Richardson Fernandes dos Santos"
"Palmeiras","Vermelho","Edu Dracena"
"Fluminense","Amarelo","Airton Ribeiro Santos"
"Palmeiras","Amarelo","Felipe Melo"
"Fluminense","Amarelo","Gilberto Moraes Júnior"
"Palmeiras","Amarelo","Mayke"
"Parana","Amarelo","Nádson da Silva Almeida"
"Atletico-MG","Vermelho","Lucas Cândido"
"Atletico-MG","Amarelo","Leonardo Silva"
"Cruzeiro","Amarelo","Lucas Romero"
"Cruzeiro","Amarelo","Lucas Silva Borges"
"Flamengo","Amarelo","Diego Ribas"
"Santos","Amarelo","Luiz Felipe"
"Botafogo-RJ","Amarelo","Rodrigo Pimpão"
"Chapecoense","Amarelo","Douglas Silva Bacelar"
"Botafogo-RJ","Amarelo","Rodrigo Lindoso"
"Chapecoense","Amarelo","Agustín Doffo"
"Chapecoense","Amarelo","Héctor Canteros"
"Vitoria","Amarelo","Marcelo Meli"
"Sport","Amarelo","Rafael Marques Mariano"
"Vitoria","Amarelo","Aderlan Santos"
"Sport","Amarelo","Deivid Willian da Silva"
"Gremio","Amarelo","Ramiro Moschen Benetti"
"Gremio","Amarelo","Walter Kannemann"
"Sao Paulo","Amarelo","Éverton Cardoso da Silva"
"Sao Paulo","Amarelo","Éder Militão"
"Sao Paulo","Amarelo","Hudson"
"Gremio","Amarelo","Cícero Santos"
"Gremio","Amarelo","Leonardo Gomes"
"Sao Paulo","Amarelo","Joao Rojas"
"Sao Paulo","Amarelo","Robert Arboleda"
"America-MG","Vermelho","Wesley Lopes Beltrame"
"America-MG","Amarelo","Rafael Moura"
"Internacional","Amarelo","Víctor Cuesta"
"Internacional","Vermelho","Andrés D'Alessandro"
"America-MG","Amarelo","Leandro Donizete"
"Internacional","Amarelo","Jonatan Álvez"
"Ceara","Amarelo","Jown Cardona"
"Ceara","Amarelo","Juninho Quixadá"
"Fluminense","Amarelo","Gilberto Moraes Júnior"
"Ceara","Amarelo","Fabinho"
"Ceara","Amarelo","Samuel Xavier"
"Ceara","Amarelo","Edinho"
"Palmeiras","Amarelo","Diogo Barbosa"
"Parana","Amarelo","Mansur"
"Palmeiras","Amarelo","Mayke"
"Parana","Amarelo","Rodolfo"
"Vasco","Amarelo","Breno Vinícius Rodrigues Borges"
"Vasco","Amarelo","Ramon de Morais Motta"
"Vasco","Amarelo","Ricardo Graça"
"Vasco","Amarelo","Leandro Luis Desábato"
"Cruzeiro","Amarelo","Edílson Mendes Guimarães"
"Sao Paulo","Amarelo","Anderson Martins"
"Cruzeiro","Amarelo","Ariel Cabral"
"Sport","Amarelo","Raul Prata"
"Flamengo","Amarelo","Léo Duarte"
"Athletico-PR","Amarelo","Bruno Guimarães"
"Vitoria","Amarelo","Antônio Eduardo Pereira dos Santos"
"Vitoria","Amarelo","Ruan"
