"clube","cartao","atleta"
"Flamengo","Amarelo","Luiz Antônio de Souza Soares"
"Santos","Amarelo","David Braz"
"Flamengo","Amarelo","Maurício Azevedo Alves"
"Flamengo","Amarelo","Samir"
"Cruzeiro","Amarelo","Ricardo Goulart"
"Internacional","Amarelo","Wellington Aparecido Martins"
"Cruzeiro","Amarelo","Dagoberto Pelentier"
"Botafogo-RJ","Amarelo","Gabriel Girotto Franco"
"Botafogo-RJ","Amarelo","Mario Bolatti"
"Vitoria","Amarelo","Wilson Rodrigues de Moura Júnior"
"Vitoria","Amarelo","Joseilson Batista dos Santos"
"Botafogo-RJ","Amarelo","Júnior César"
"Botafogo-RJ","Amarelo","Emerson Sheik"
"Vitoria","Amarelo","Danilo Tarracha"
"Vitoria","Amarelo","Neto Coruja"
"Chapecoense","Amarelo","Neném"
"Palmeiras","Amarelo","Lucimar da Silva Ferreira"
"Chapecoense","Amarelo","Fabiano"
"Palmeiras","Amarelo","Wesley Lopes Beltrame"
"Atletico-MG","Amarelo","Leandro Donizete"
"Criciuma","Amarelo","Bruno Cortês"
"Atletico-MG","Amarelo","Alex da Silva"
"Criciuma","Amarelo","João Vitor Lima Gomes"
"Sport","Amarelo","Renê Rodrigues Martins"
"Gremio","Amarelo","Marcos Rogério Ricci Lopes"
"Gremio","Amarelo","Eduardo Pereira Rodrigues"
"Criciuma","Amarelo","Carlos Eduardo Santos Oliveira"
"Criciuma","Amarelo","Bruno Lopes"
"Criciuma","Amarelo","Silvinho"
"Coritiba","Amarelo","Júlio César da Silva e Souza"
"Coritiba","Amarelo","Dener Assunção Braz"
"Criciuma","Amarelo","Paulo Baier"
"Criciuma","Amarelo","Sérgio Antônio Borges Júnior"
"Coritiba","Amarelo","Norberto Pereira Marinho Neto"
"Coritiba","Amarelo","Luis Francisco Grando"
"Coritiba","Amarelo","Jajá Coelho"
"Palmeiras","Amarelo","Wesley Lopes Beltrame"
"Botafogo-RJ","Amarelo","Emerson Sheik"
"Palmeiras","Vermelho","Wesley Lopes Beltrame"
"Botafogo-RJ","Amarelo","Rodrigo Souto"
"Botafogo-RJ","Amarelo","Mario Bolatti"
"Internacional","Amarelo","Andrés D'Alessandro"
"Chapecoense","Amarelo","André Luiz Paulino de Souza Motta"
"Chapecoense","Amarelo","Neuton"
"Internacional","Amarelo","Dida"
"Chapecoense","Amarelo","Diones"
"Chapecoense","Amarelo","Wanderson"
"Corinthians","Amarelo","Petros"
"Corinthians","Amarelo","Cleber Reis"
"Fluminense","Vermelho","Michael Vinicius Silva de Morais"
"Atletico-MG","Amarelo","Edcarlos"
"Atletico-MG","Amarelo","Jesús Dátolo"
"Atletico-MG","Amarelo","Emerson da Conceição"
"Atletico-MG","Amarelo","Lucas Pierre Santos Oliveira"
"Fluminense","Amarelo","Carlos Andrade Souza"
"Fluminense","Amarelo","Gum"
"Atletico-MG","Amarelo","Alex da Silva"
"Atletico-MG","Amarelo","Leandro Donizete"
"Atletico-MG","Amarelo","Leonardo Silva"
"Fluminense","Amarelo","Kenedy"
